State,Year,Month,Value,1-Month % Change
Alaska,2018,08,6.4,0.0
Alaska,2018,09,6.3,-1.6
Alaska,2018,10,6.3,0.0
Alaska,2018,11,6.2,-1.6
Alaska,2018,12,6.2,0.0
Alaska,2019,01,6.1,-1.6
Alaska,2019,02,6.1,0.0
Alaska,2019,03,6.1,0.0
Alaska,2019,04,6.1,0.0
Alaska,2019,05,6.2,1.6
Alaska,2019,06,6.2,0.0
Alaska,2019,07,6.2,0.0
Alaska,2019,08,6.2,0.0
Alaska,2019,09,6.2,0.0
Alaska,2019,10,6.1,-1.6
Alaska,2019,11,6.1,0.0
Alaska,2019,12,6.1,0.0
Alaska,2020,01,6.0,-1.6
Alaska,2020,02,5.8,-3.3
Alaska,2020,03,5.6,-3.4
Arizona,2000,01,4.1,-2.4
Arizona,2000,02,4.1,0.0
Arizona,2000,03,4.0,-2.4
Arizona,2000,04,4.0,0.0
Arizona,2000,05,4.0,0.0
Arizona,2000,06,4.0,0.0
Arizona,2000,07,4.0,0.0
Arizona,2000,08,3.9,-2.5
Arizona,2000,09,3.9,0.0
Arizona,2000,10,3.9,0.0
Arizona,2000,11,3.9,0.0
Arizona,2000,12,3.9,0.0
Arizona,2001,01,4.0,2.6
Arizona,2001,02,4.1,2.5
Arizona,2001,03,4.2,2.4
Arizona,2001,04,4.3,2.4
Arizona,2001,05,4.4,2.3
Arizona,2001,06,4.6,4.5
Arizona,2001,07,4.8,4.3
Arizona,2001,08,5.0,4.2
Arizona,2001,09,5.2,4.0
Arizona,2001,10,5.4,3.8
Arizona,2001,11,5.6,3.7
Arizona,2001,12,5.7,1.8
Arizona,2002,01,5.9,3.5
Arizona,2002,02,6.0,1.7
Arizona,2002,03,6.0,0.0
Arizona,2002,04,6.1,1.7
Arizona,2002,05,6.1,0.0
Arizona,2002,06,6.2,1.6
Arizona,2002,07,6.2,0.0
Arizona,2002,08,6.2,0.0
Arizona,2002,09,6.2,0.0
Arizona,2002,10,6.1,-1.6
Arizona,2002,11,6.1,0.0
Arizona,2002,12,6.1,0.0
Arizona,2003,01,6.0,-1.6
Arizona,2003,02,5.9,-1.7
Arizona,2003,03,5.9,0.0
Arizona,2003,04,5.9,0.0
Arizona,2003,05,5.9,0.0
Arizona,2003,06,5.8,-1.7
Arizona,2003,07,5.8,0.0
Arizona,2003,08,5.8,0.0
Arizona,2003,09,5.7,-1.7
Arizona,2003,10,5.6,-1.8
Arizona,2003,11,5.5,-1.8
Arizona,2003,12,5.4,-1.8
Arizona,2004,01,5.3,-1.9
Arizona,2004,02,5.3,0.0
Arizona,2004,03,5.3,0.0
Arizona,2004,04,5.2,-1.9
Arizona,2004,05,5.2,0.0
Arizona,2004,06,5.1,-1.9
Arizona,2004,07,5.0,-2.0
Arizona,2004,08,4.9,-2.0
Arizona,2004,09,4.8,-2.0
Arizona,2004,10,4.8,0.0
Arizona,2004,11,4.8,0.0
Arizona,2004,12,4.8,0.0
Arizona,2005,01,4.8,0.0
Arizona,2005,02,4.8,0.0
Arizona,2005,03,4.8,0.0
Arizona,2005,04,4.8,0.0
Arizona,2005,05,4.7,-2.1
Arizona,2005,06,4.7,0.0
Arizona,2005,07,4.6,-2.1
Arizona,2005,08,4.6,0.0
Arizona,2005,09,4.6,0.0
Arizona,2005,10,4.6,0.0
Arizona,2005,11,4.5,-2.2
Arizona,2005,12,4.5,0.0
Arizona,2006,01,4.5,0.0
Arizona,2006,02,4.4,-2.2
Arizona,2006,03,4.4,0.0
Arizona,2006,04,4.4,0.0
Arizona,2006,05,4.3,-2.3
Arizona,2006,06,4.3,0.0
Arizona,2006,07,4.2,-2.3
Arizona,2006,08,4.2,0.0
Arizona,2006,09,4.1,-2.4
Arizona,2006,10,4.0,-2.4
Arizona,2006,11,4.0,0.0
Arizona,2006,12,3.9,-2.5
Arizona,2007,01,3.9,0.0
Arizona,2007,02,3.8,-2.6
Arizona,2007,03,3.8,0.0
Arizona,2007,04,3.7,-2.6
Arizona,2007,05,3.7,0.0
Arizona,2007,06,3.6,-2.7
Arizona,2007,07,3.6,0.0
Arizona,2007,08,3.7,2.8
Arizona,2007,09,3.8,2.7
Arizona,2007,10,3.9,2.6
Arizona,2007,11,4.1,5.1
Arizona,2007,12,4.3,4.9
Arizona,2008,01,4.5,4.7
Arizona,2008,02,4.7,4.4
Arizona,2008,03,5.0,6.4
Arizona,2008,04,5.3,6.0
Arizona,2008,05,5.6,5.7
Arizona,2008,06,5.9,5.4
Arizona,2008,07,6.3,6.8
Arizona,2008,08,6.6,4.8
Arizona,2008,09,6.9,4.5
Arizona,2008,10,7.3,5.8
Arizona,2008,11,7.6,4.1
Arizona,2008,12,8.0,5.3
Arizona,2009,01,8.4,5.0
Arizona,2009,02,8.8,4.8
Arizona,2009,03,9.1,3.4
Arizona,2009,04,9.4,3.3
Arizona,2009,05,9.7,3.2
Arizona,2009,06,9.9,2.1
Arizona,2009,07,10.2,3.0
Arizona,2009,08,10.4,2.0
Arizona,2009,09,10.6,1.9
Arizona,2009,10,10.8,1.9
Arizona,2009,11,10.9,0.9
Arizona,2009,12,10.9,0.0
Arizona,2010,01,10.9,0.0
Arizona,2010,02,10.8,-0.9
Arizona,2010,03,10.7,-0.9
Arizona,2010,04,10.6,-0.9
Arizona,2010,05,10.4,-1.9
Arizona,2010,06,10.3,-1.0
Arizona,2010,07,10.2,-1.0
Arizona,2010,08,10.2,0.0
Arizona,2010,09,10.1,-1.0
Arizona,2010,10,10.1,0.0
Arizona,2010,11,10.0,-1.0
Arizona,2010,12,9.9,-1.0
Arizona,2011,01,9.8,-1.0
Arizona,2011,02,9.7,-1.0
Arizona,2011,03,9.7,0.0
Arizona,2011,04,9.7,0.0
Arizona,2011,05,9.7,0.0
Arizona,2011,06,9.7,0.0
Arizona,2011,07,9.7,0.0
Arizona,2011,08,9.6,-1.0
Arizona,2011,09,9.4,-2.1
Arizona,2011,10,9.2,-2.1
Arizona,2011,11,9.0,-2.2
Arizona,2011,12,8.8,-2.2
Arizona,2012,01,8.7,-1.1
Arizona,2012,02,8.7,0.0
Arizona,2012,03,8.6,-1.1
Arizona,2012,04,8.6,0.0
Arizona,2012,05,8.5,-1.2
Arizona,2012,06,8.5,0.0
Arizona,2012,07,8.3,-2.4
Arizona,2012,08,8.2,-1.2
Arizona,2012,09,8.1,-1.2
Arizona,2012,10,8.0,-1.2
Arizona,2012,11,7.9,-1.3
Arizona,2012,12,7.9,0.0
Arizona,2013,01,7.9,0.0
Arizona,2013,02,7.9,0.0
Arizona,2013,03,7.9,0.0
Arizona,2013,04,7.9,0.0
Arizona,2013,05,7.8,-1.3
Arizona,2013,06,7.8,0.0
Arizona,2013,07,7.8,0.0
Arizona,2013,08,7.7,-1.3
Arizona,2013,09,7.7,0.0
Arizona,2013,10,7.6,-1.3
Arizona,2013,11,7.5,-1.3
Arizona,2013,12,7.4,-1.3
Arizona,2014,01,7.3,-1.4
Arizona,2014,02,7.1,-2.7
Arizona,2014,03,7.0,-1.4
Arizona,2014,04,6.9,-1.4
Arizona,2014,05,6.9,0.0
Arizona,2014,06,6.8,-1.4
Arizona,2014,07,6.7,-1.5
Arizona,2014,08,6.7,0.0
Arizona,2014,09,6.6,-1.5
Arizona,2014,10,6.6,0.0
Arizona,2014,11,6.5,-1.5
Arizona,2014,12,6.5,0.0
Arizona,2015,01,6.4,-1.5
Arizona,2015,02,6.3,-1.6
Arizona,2015,03,6.3,0.0
Arizona,2015,04,6.2,-1.6
Arizona,2015,05,6.1,-1.6
Arizona,2015,06,6.1,0.0
Arizona,2015,07,6.0,-1.6
Arizona,2015,08,6.0,0.0
Arizona,2015,09,5.9,-1.7
Arizona,2015,10,5.9,0.0
Arizona,2015,11,5.8,-1.7
Arizona,2015,12,5.7,-1.7
Arizona,2016,01,5.6,-1.8
Arizona,2016,02,5.5,-1.8
Arizona,2016,03,5.5,0.0
Arizona,2016,04,5.5,0.0
Arizona,2016,05,5.4,-1.8
Arizona,2016,06,5.4,0.0
Arizona,2016,07,5.4,0.0
Arizona,2016,08,5.3,-1.9
Arizona,2016,09,5.3,0.0
Arizona,2016,10,5.2,-1.9
Arizona,2016,11,5.2,0.0
Arizona,2016,12,5.2,0.0
Arizona,2017,01,5.1,-1.9
Arizona,2017,02,5.1,0.0
Arizona,2017,03,5.0,-2.0
Arizona,2017,04,5.0,0.0
Arizona,2017,05,4.9,-2.0
Arizona,2017,06,4.8,-2.0
Arizona,2017,07,4.8,0.0
Arizona,2017,08,4.7,-2.1
Arizona,2017,09,4.7,0.0
Arizona,2017,10,4.7,0.0
Arizona,2017,11,4.7,0.0
Arizona,2017,12,4.8,2.1
Arizona,2018,01,4.8,0.0
Arizona,2018,02,4.8,0.0
Arizona,2018,03,4.7,-2.1
Arizona,2018,04,4.7,0.0
Arizona,2018,05,4.7,0.0
Arizona,2018,06,4.7,0.0
Arizona,2018,07,4.7,0.0
Arizona,2018,08,4.7,0.0
Arizona,2018,09,4.7,0.0
Arizona,2018,10,4.8,2.1
Arizona,2018,11,4.8,0.0
Arizona,2018,12,4.8,0.0
Arizona,2019,01,4.9,2.1
Arizona,2019,02,4.9,0.0
Arizona,2019,03,4.8,-2.0
Arizona,2019,04,4.8,0.0
Arizona,2019,05,4.8,0.0
Arizona,2019,06,4.8,0.0
Arizona,2019,07,4.7,-2.1
Arizona,2019,08,4.6,-2.1
Arizona,2019,09,4.6,0.0
Arizona,2019,10,4.5,-2.2
Arizona,2019,11,4.5,0.0
Arizona,2019,12,4.5,0.0
Arizona,2020,01,4.5,0.0
Arizona,2020,02,4.5,0.0
Arizona,2020,03,5.5,22.2
Arkansas,2000,01,4.4,0.0
Arkansas,2000,02,4.3,-2.3
Arkansas,2000,03,4.3,0.0
Arkansas,2000,04,4.3,0.0
Arkansas,2000,05,4.2,-2.3
Arkansas,2000,06,4.2,0.0
Arkansas,2000,07,4.2,0.0
Arkansas,2000,08,4.2,0.0
Arkansas,2000,09,4.2,0.0
Arkansas,2000,10,4.3,2.4
Arkansas,2000,11,4.3,0.0
Arkansas,2000,12,4.4,2.3
Arkansas,2001,01,4.5,2.3
Arkansas,2001,02,4.6,2.2
Arkansas,2001,03,4.7,2.2
Arkansas,2001,04,4.8,2.1
Arkansas,2001,05,4.9,2.1
Arkansas,2001,06,4.9,0.0
Arkansas,2001,07,5.0,2.0
Arkansas,2001,08,5.0,0.0
Arkansas,2001,09,5.1,2.0
Arkansas,2001,10,5.2,2.0
Arkansas,2001,11,5.3,1.9
Arkansas,2001,12,5.4,1.9
Arkansas,2002,01,5.5,1.9
Arkansas,2002,02,5.6,1.8
Arkansas,2002,03,5.6,0.0
Arkansas,2002,04,5.6,0.0
Arkansas,2002,05,5.5,-1.8
Arkansas,2002,06,5.4,-1.8
Arkansas,2002,07,5.4,0.0
